#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
78,Kuwait,"632,074",,"2,555 ",,"629,114",,405,3,"144,051",582,"8,071,763","1,839,575"
79,Myanmar,"613,116",+28,"19,434 ",,"592,073",+61,"1,609",,"11,130",353,"8,068,209","146,463"
80,Palestine,"582,119",,"5,353 ",,"576,684",,82,17,"109,389","1,006","3,078,533","578,503"
81,Dominican Republic,"580,336",+135,"4,376 ",,"575,485",+183,475,1,"52,519",396,"3,304,458","299,048"
82,Bahrain,"576,395",+633,"1,479 ",,"569,221",+525,"5,695",4,"318,216",817,"9,775,981","5,397,117"
83,Estonia,"573,922",,"2,556 ",,"514,836",,"56,530",3,"432,108","1,924","3,345,340","2,518,717"
84,Venezuela,"522,890",,"5,710 ",,"516,098",,"1,082",230,"18,486",202,"3,359,014","118,750"
85,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,714","2,860","3,216,305","800,762"
86,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,868",232,"3,693,367","34,870"
87,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,245",913,"2,477,219","351,638"
88,Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,389",843,"9,477,138","7,744,785"
89,Ethiopia,"470,899",+48,"7,510 ",,"455,755",+3,"7,634",6,"3,916",62,"4,832,669","40,189"
90,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,171",645,"4,030,048","1,193,624"
91,Honduras,"424,390",,"10,896 ",,"132,358",,"281,136",105,"41,619","1,069","1,365,056","133,867"
92,Armenia,"422,896",,"8,623 ",,"412,048",,"2,225",,"142,220","2,900","3,068,217","1,031,844"
93,Réunion,"405,980",,762 ,,"395,430",,"9,788",10,"447,520",840,"1,603,660","1,767,748"
94,Oman,"389,370",,"4,259 ",,"384,543",,568,3,"72,811",796,"25,000,000","4,674,909"
95,Bosnia and Herzegovina,"377,511",+36,"15,778 ",+3,N/A,N/A,N/A,,"116,410","4,865","1,767,199","544,938"
96,Qatar,"365,938",+123,677 ,,"364,214",+89,"1,047",2,"130,329",241,"3,481,344","1,239,881"
